Sector,Year,FDI(₹ Crores),FDI(US$ Million)
SEA TRANSPORT,2006-07,328.08,72.52
PORTS,2006-07,0.0,0.0
RAILWAY RELATED COMPONENTS,2006-07,116.81,25.82
INDUSTRIAL MACHINERY,2006-07,117.44,25.96
MACHINE TOOLS,2006-07,168.65,37.28
AGRICULTURAL MACHINERY,2006-07,113.96,25.19
EARTH-MOVING MACHINERY,2006-07,4.48,0.99
MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2006-07,382.01,84.44
"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2006-07,24.52,5.42
MEDICAL AND SURGICAL APPLIANCES,2006-07,60.76,13.43
INDUSTRIAL INSTRUMENTS,2006-07,0.0,0.0
SCIENTIFIC INSTRUMENTS,2006-07,0.32,0.07
"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2006-07,0.0,0.0
FERTILIZERS,2006-07,22.67,5.01
CHEMICALS (OTHER THAN FERTILIZERS),2006-07,628.16,138.85
PHOTOGRAPHIC RAW FILM AND PAPER,2006-07,12.71,2.81
DYE-STUFFS,2006-07,0.0,0.0
DRUGS & PHARMACEUTICALS,2006-07,1014.28,224.2
"TEXTILES (INCLUDING DYED,PRINTED)",2006-07,574.1,126.9
PAPER AND PULP (INCLUDING PAPER PRODUCTS),2006-07,22.98,5.08
SUGAR,2006-07,44.56,9.85
FERMENTATION INDUSTRIES,2006-07,124.77,27.58
FOOD PROCESSING INDUSTRIES,2006-07,461.45,102.0
VEGETABLE OILS AND VANASPATI,2006-07,73.38,16.22
"SOAPS, COSMETICS & TOILET PREPARATIONS",2006-07,27.32,6.04
RUBBER GOODS,2006-07,84.82,18.75
"LEATHER,LEATHER GOODS AND PICKERS",2006-07,37.37,8.26
GLUE AND GELATIN,2006-07,0.0,0.0
GLASS,2006-07,6.47,1.43
CERAMICS,2006-07,552.97,122.23
CEMENT AND GYPSUM PRODUCTS,2006-07,1096.93,242.47
TIMBER PRODUCTS,2006-07,0.0,0.0
DEFENCE INDUSTRIES,2006-07,0.0,0.0
CONSULTANCY SERVICES,2006-07,518.81,114.68
"SERVICES SECTOR (Fin.,Banking,Insurance,Non Fin/Business,Outsourcing,R&D,Courier,Tech. Testing and Analysis, Other)",2006-07,21325.14,4713.78
HOSPITAL & DIAGNOSTIC CENTRES,2006-07,172.55,38.14
EDUCATION,2006-07,189.15,41.81
HOTEL & TOURISM,2006-07,885.17,195.66
TRADING,2006-07,518.68,114.65
RETAIL TRADING,2006-07,0.0,0.0
